date,country,gas_type,price_per_liter_euro_with_tax
2026-03-09,EU,euro95,1.7740847793832666
2026-03-02,EU,euro95,1.6646510175526492
2026-02-23,EU,euro95,1.637231143049459
2026-02-16,EU,euro95,1.63195305277991
2026-02-09,EU,euro95,1.623450155431859
2026-02-02,EU,euro95,1.6219213124993241
2026-01-26,EU,euro95,1.6150223080067574
2026-01-19,EU,euro95,1.6112966362951349
2026-01-12,EU,euro95,1.6046590932164988
2026-01-05,EU,euro95,1.6045514813278863
2025-12-29,EU,euro95,1.5857555123171894
2025-12-22,EU,euro95,1.5868823553435782
2025-12-15,EU,euro95,1.6053345911018724
2025-12-08,EU,euro95,1.6195362882213837
2025-12-01,EU,euro95,1.6289672680359575
2025-11-24,EU,euro95,1.6387850342457015
2025-11-17,EU,euro95,1.6391871996979837
2025-11-10,EU,euro95,1.624586991170489
2025-11-03,EU,euro95,1.6194329725456553
2025-10-27,EU,euro95,1.6146729296640627
2025-10-20,EU,euro95,1.6084867799579126
2025-10-13,EU,euro95,1.6160437579654487
2025-10-06,EU,euro95,1.6198596232380351
2025-09-29,EU,euro95,1.6228401463473887
2025-09-22,EU,euro95,1.6228622566120032
2025-09-15,EU,euro95,1.6217911202989599
2025-09-08,EU,euro95,1.6157906028753577
2025-09-01,EU,euro95,1.6073624223989695
2025-08-25,EU,euro95,1.6095031933232642
2025-08-18,EU,euro95,1.6058077533732689
2025-08-11,EU,euro95,1.6117273805741184
2025-08-04,EU,euro95,1.616817755398579
2025-07-28,EU,euro95,1.6143271374462764
2025-07-21,EU,euro95,1.6202065159572991
2025-07-14,EU,euro95,1.6215070269051852
2025-07-07,EU,euro95,1.6213017069860085
2025-06-30,EU,euro95,1.6328618023811183
2025-06-23,EU,euro95,1.6392064379547464
2025-06-16,EU,euro95,1.615692591011363
2025-06-09,EU,euro95,1.598598759031333
2025-06-02,EU,euro95,1.5993587783940681
2025-05-26,EU,euro95,1.6023434268388888
2025-05-19,EU,euro95,1.6037996009292903
2025-05-12,EU,euro95,1.5987771743152803
2025-05-05,EU,euro95,1.6023121122634818
2025-04-28,EU,euro95,1.6097821831163928
2025-04-21,EU,euro95,1.6145576817184932
2025-04-14,EU,euro95,1.6224866741129844
2025-04-07,EU,euro95,1.6478264137629877
2025-03-31,EU,euro95,1.653155454628982
2025-03-24,EU,euro95,1.6402837469436673
2025-03-17,EU,euro95,1.6453273198338592
2025-03-10,EU,euro95,1.6608700714917672
2025-03-03,EU,euro95,1.6893846316335541
2025-02-24,EU,euro95,1.702486071043054
2025-02-17,EU,euro95,1.706384757306826
2025-02-10,EU,euro95,1.7045400529140964
2025-02-03,EU,euro95,1.697430596843302
2025-01-27,EU,euro95,1.7019593836825668
2025-01-20,EU,euro95,1.7007525697060064
2025-01-13,EU,euro95,1.6786335088486042
2025-01-06,EU,euro95,1.671005017920467
2024-12-30,EU,euro95,1.6521288027120613
2024-12-23,EU,euro95,1.6510668429587922
2024-12-16,EU,euro95,1.6449388113218268
2024-12-09,EU,euro95,1.6394117095928777
2024-12-02,EU,euro95,1.6417963373736486
2024-11-25,EU,euro95,1.6446161988952555
2024-11-18,EU,euro95,1.6356976606393119
2024-11-11,EU,euro95,1.6310766322029144
2024-11-04,EU,euro95,1.6292663410422445
2024-10-28,EU,euro95,1.6391512027081556
2024-10-21,EU,euro95,1.640199077760917
2024-10-14,EU,euro95,1.640039649284741
2024-10-07,EU,euro95,1.6186083967126335
2024-09-30,EU,euro95,1.6111134199308574
2024-09-23,EU,euro95,1.62196809720484
2024-09-16,EU,euro95,1.6245369295953376
2024-09-09,EU,euro95,1.6402052804944136
2024-09-02,EU,euro95,1.6671299841503242
2024-08-26,EU,euro95,1.6790239373432052
2024-08-19,EU,euro95,1.6987314828679572
2024-08-12,EU,euro95,1.7056149500989648
2024-08-05,EU,euro95,1.7173960350848114
2024-07-29,EU,euro95,1.7265292546601023
2024-07-22,EU,euro95,1.7322573907745193
2024-07-15,EU,euro95,1.742418832220278
2024-07-08,EU,euro95,1.7478744499795011
2024-07-01,EU,euro95,1.73860269567258
2024-06-24,EU,euro95,1.7307087667750556
2024-06-17,EU,euro95,1.7231734545706106
2024-06-10,EU,euro95,1.7238199326642987
2024-06-03,EU,euro95,1.7418449858013736
2024-05-27,EU,euro95,1.7537297766177151
2024-05-20,EU,euro95,1.7680119037143913
2024-05-13,EU,euro95,1.7794302971950888
2024-05-06,EU,euro95,1.7913149889844324
2024-04-29,EU,euro95,1.8009766564164567
2024-04-22,EU,euro95,1.808193509411299
2024-04-15,EU,euro95,1.8056198759509348
2024-04-08,EU,euro95,1.7959111538733799
2024-04-01,EU,euro95,1.7757356859656421
2024-03-25,EU,euro95,1.7547302777641132
2024-03-18,EU,euro95,1.7372664757180587
2024-03-11,EU,euro95,1.7325254895283746
2024-03-04,EU,euro95,1.7312900301278467
2024-02-26,EU,euro95,1.728993904178691
2024-02-19,EU,euro95,1.731045937528698
2024-02-12,EU,euro95,1.714405528749658
2024-02-05,EU,euro95,1.6949570947850205
2024-01-29,EU,euro95,1.6871374350776764
2024-01-22,EU,euro95,1.6661093925947852
2024-01-15,EU,euro95,1.6631169803822834
2024-01-08,EU,euro95,1.6665707919098294
2024-01-01,EU,euro95,1.66123986712701
2023-12-25,EU,euro95,1.6671650490392396
2023-12-18,EU,euro95,1.6648684884545741
2023-12-11,EU,euro95,1.6816251078280402
2023-12-04,EU,euro95,1.7015133370509232
2023-11-27,EU,euro95,1.7180425183378465
2023-11-20,EU,euro95,1.7202215849814584
2023-11-13,EU,euro95,1.7385520158762586
2023-11-06,EU,euro95,1.7570883447951262
2023-10-30,EU,euro95,1.7550128433238195
2023-10-23,EU,euro95,1.763569337086049
2023-10-16,EU,euro95,1.7654537304397266
2023-10-09,EU,euro95,1.7894129144670685
2023-10-02,EU,euro95,1.8239590162605337
2023-09-25,EU,euro95,1.8391632015428379
2023-09-18,EU,euro95,1.8380931645850096
2023-09-11,EU,euro95,1.8303155426913478
2023-09-04,EU,euro95,1.8336932125327086
2023-08-28,EU,euro95,1.827464904583091
2023-08-21,EU,euro95,1.8159794619096545
2023-08-14,EU,euro95,1.8115945443220902
2023-08-07,EU,euro95,1.8000128060185678
2023-07-31,EU,euro95,1.7867338380392042
2023-07-24,EU,euro95,1.7467928577556566
2023-07-17,EU,euro95,1.736533861210336
2023-07-10,EU,euro95,1.7262716188682898
2023-07-03,EU,euro95,1.7279076292383806
2023-06-26,EU,euro95,1.7218557586013674
2023-06-19,EU,euro95,1.7219937478877958
2023-06-12,EU,euro95,1.7253010886664712
2023-06-05,EU,euro95,1.7119476883475708
2023-05-29,EU,euro95,1.7147314406419893
2023-05-22,EU,euro95,1.7012079531310558
2023-05-15,EU,euro95,1.6994962820601796
2023-05-08,EU,euro95,1.7057456059656033
